geo_code,age_band,sex,population
1111071000,30-34,F,715
1111071000,35-39,M,413
1111071000,35-39,F,419
1111071000,40-44,M,304
1111071000,40-44,F,254
1111071000,45-49,M,282
1111071000,45-49,F,250
1111071000,50-54,M,369
1111071000,50-54,F,289
1111071000,55-59,M,446
1111071000,55-59,F,356
1111071000,60-64,M,415
1111071000,60-64,F,325
1111071000,65-69,M,357
1111071000,65-69,F,314
1111071000,70-74,M,277
1111071000,70-74,F,241
1111071000,75-79,M,154
1111071000,75-79,F,189
1111071000,80-84,M,104
1111071000,80-84,F,128
1111071000,85-89,M,52
1111071000,85-89,F,79
1111071000,90-94,M,7
1111071000,90-94,F,27
1111071000,95-99,M,5
1111071000,95-99,F,7
1111071000,100+,M,0
1111071000,100+,F,0
1114052000,0-4,M,28
1114052000,0-4,F,23
1114052000,5-9,M,46
1114052000,5-9,F,39
1114052000,10-14,M,31
1114052000,10-14,F,56
1114052000,15-19,M,23
1114052000,15-19,F,38
1114052000,20-24,M,31
1114052000,20-24,F,48
1114052000,25-29,M,47
1114052000,25-29,F,88
1114052000,30-34,M,82
1114052000,30-34,F,113
1114052000,35-39,M,105
1114052000,35-39,F,110
1114052000,40-44,M,131
1114052000,40-44,F,145
1114052000,45-49,M,124
1114052000,45-49,F,149
1114052000,50-54,M,98
1114052000,50-54,F,88
1114052000,55-59,M,91
1114052000,55-59,F,79
1114052000,60-64,M,48
1114052000,60-64,F,51
1114052000,65-69,M,52
1114052000,65-69,F,51
1114052000,70-74,M,34
1114052000,70-74,F,42
1114052000,75-79,M,27
1114052000,75-79,F,24
1114052000,80-84,M,14
1114052000,80-84,F,14
1114052000,85-89,M,9
1114052000,85-89,F,13
1114052000,90-94,M,2
1114052000,90-94,F,5
1114052000,95-99,M,2
1114052000,95-99,F,1
1114052000,100+,M,0
1114052000,100+,F,0
1114054000,0-4,M,28
1114054000,0-4,F,34
1114054000,5-9,M,30
1114054000,5-9,F,28
1114054000,10-14,M,50
1114054000,10-14,F,38
1114054000,15-19,M,50
1114054000,15-19,F,65
1114054000,20-24,M,64
1114054000,20-24,F,73
1114054000,25-29,M,112
1114054000,25-29,F,123
1114054000,30-34,M,138
1114054000,30-34,F,147
1114054000,35-39,M,109
1114054000,35-39,F,120
1114054000,40-44,M,107
1114054000,40-44,F,119
1114054000,45-49,M,121
1114054000,45-49,F,121
1114054000,50-54,M,147
1114054000,50-54,F,157
1114054000,55-59,M,184
1114054000,55-59,F,171
1114054000,60-64,M,215
1114054000,60-64,F,150
1114054000,65-69,M,240
1114054000,65-69,F,190
1114054000,70-74,M,190
1114054000,70-74,F,163
1114054000,75-79,M,114
1114054000,75-79,F,110
1114054000,80-84,M,74
1114054000,80-84,F,98
1114054000,85-89,M,44
1114054000,85-89,F,53
1114054000,90-94,M,11
1114054000,90-94,F,28
1114054000,95-99,M,6
1114054000,95-99,F,10
1114054000,100+,M,1
1114054000,100+,F,2
1114055000,0-4,M,15
1114055000,0-4,F,13
1114055000,5-9,M,11
1114055000,5-9,F,10
1114055000,10-14,M,24
1114055000,10-14,F,9
1114055000,15-19,M,27
1114055000,15-19,F,42
1114055000,20-24,M,39
1114055000,20-24,F,80
1114055000,25-29,M,90
1114055000,25-29,F,102
1114055000,30-34,M,85
1114055000,30-34,F,80
1114055000,35-39,M,65
1114055000,35-39,F,66
1114055000,40-44,M,68
1114055000,40-44,F,78
1114055000,45-49,M,71
1114055000,45-49,F,95
1114055000,50-54,M,89
1114055000,50-54,F,124
1114055000,55-59,M,100
1114055000,55-59,F,138
1114055000,60-64,M,87
1114055000,60-64,F,126
1114055000,65-69,M,91
1114055000,65-69,F,138
1114055000,70-74,M,69
1114055000,70-74,F,123
1114055000,75-79,M,44
1114055000,75-79,F,82
1114055000,80-84,M,34
1114055000,80-84,F,74
1114055000,85-89,M,16
1114055000,85-89,F,39
1114055000,90-94,M,5
1114055000,90-94,F,25
1114055000,95-99,M,1
1114055000,95-99,F,9
1114055000,100+,M,0
1114055000,100+,F,0
1114057000,0-4,M,27
1114057000,0-4,F,38
1114057000,5-9,M,25
1114057000,5-9,F,22
1114057000,10-14,M,46
1114057000,10-14,F,44
1114057000,15-19,M,57
1114057000,15-19,F,59
1114057000,20-24,M,183
1114057000,20-24,F,184
1114057000,25-29,M,221
1114057000,25-29,F,221
1114057000,30-34,M,231
1114057000,30-34,F,215
1114057000,35-39,M,209
1114057000,35-39,F,198
1114057000,40-44,M,160
1114057000,40-44,F,146
1114057000,45-49,M,128
1114057000,45-49,F,120
1114057000,50-54,M,140
1114057000,50-54,F,107
1114057000,55-59,M,177
1114057000,55-59,F,130
1114057000,60-64,M,147
1114057000,60-64,F,100
1114057000,65-69,M,152
1114057000,65-69,F,155
1114057000,70-74,M,125
1114057000,70-74,F,124
1114057000,75-79,M,70
1114057000,75-79,F,87
1114057000,80-84,M,50
1114057000,80-84,F,65
1114057000,85-89,M,33
1114057000,85-89,F,50
1114057000,90-94,M,12
1114057000,90-94,F,33
1114057000,95-99,M,4
1114057000,95-99,F,11
1114057000,100+,M,0
1114057000,100+,F,1
1114058000,0-4,M,23
1114058000,0-4,F,20
1114058000,5-9,M,30
1114058000,5-9,F,21
1114058000,10-14,M,48
1114058000,10-14,F,51
1114058000,15-19,M,92
1114058000,15-19,F,99
1114058000,20-24,M,353
1114058000,20-24,F,369
1114058000,25-29,M,352
1114058000,25-29,F,212
1114058000,30-34,M,240
1114058000,30-34,F,153
1114058000,35-39,M,144
1114058000,35-39,F,95
1114058000,40-44,M,125
1114058000,40-44,F,109
1114058000,45-49,M,125
1114058000,45-49,F,121
1114058000,50-54,M,146
1114058000,50-54,F,114
1114058000,55-59,M,160
1114058000,55-59,F,141
1114058000,60-64,M,121
1114058000,60-64,F,134
1114058000,65-69,M,140
1114058000,65-69,F,133
1114058000,70-74,M,113
1114058000,70-74,F,123
1114058000,75-79,M,85
1114058000,75-79,F,110
1114058000,80-84,M,57
1114058000,80-84,F,79
1114058000,85-89,M,34
1114058000,85-89,F,58
1114058000,90-94,M,12
1114058000,90-94,F,22
1114058000,95-99,M,1
1114058000,95-99,F,5
1114058000,100+,M,0
1114058000,100+,F,0
1114059000,0-4,M,37
1114059000,0-4,F,26
1114059000,5-9,M,23
1114059000,5-9,F,20
1114059000,10-14,M,37
1114059000,10-14,F,35
1114059000,15-19,M,46
1114059000,15-19,F,58
1114059000,20-24,M,128
1114059000,20-24,F,222
1114059000,25-29,M,283
1114059000,25-29,F,401
1114059000,30-34,M,380
1114059000,30-34,F,428
1114059000,35-39,M,301
1114059000,35-39,F,246
1114059000,40-44,M,186
1114059000,40-44,F,165
1114059000,45-49,M,165
1114059000,45-49,F,153
1114059000,50-54,M,174
1114059000,50-54,F,180
1114059000,55-59,M,197
1114059000,55-59,F,161
1114059000,60-64,M,217
1114059000,60-64,F,171
1114059000,65-69,M,233
1114059000,65-69,F,200
1114059000,70-74,M,150
1114059000,70-74,F,164
1114059000,75-79,M,102
1114059000,75-79,F,130
1114059000,80-84,M,72
1114059000,80-84,F,100
1114059000,85-89,M,29
1114059000,85-89,F,60
1114059000,90-94,M,8
1114059000,90-94,F,22
1114059000,95-99,M,1
1114059000,95-99,F,7
1114059000,100+,M,0
1114059000,100+,F,0
1114060500,0-4,M,47
1114060500,0-4,F,40
1114060500,5-9,M,20
1114060500,5-9,F,31
1114060500,10-14,M,17
1114060500,10-14,F,23
1114060500,15-19,M,20
1114060500,15-19,F,28
1114060500,20-24,M,33
1114060500,20-24,F,59
1114060500,25-29,M,112
1114060500,25-29,F,142
1114060500,30-34,M,217
1114060500,30-34,F,198
1114060500,35-39,M,247
1114060500,35-39,F,180
1114060500,40-44,M,169
1114060500,40-44,F,159
1114060500,45-49,M,121
1114060500,45-49,F,122
1114060500,50-54,M,94
1114060500,50-54,F,86
1114060500,55-59,M,117
1114060500,55-59,F,65
1114060500,60-64,M,101
1114060500,60-64,F,66
1114060500,65-69,M,123
1114060500,65-69,F,67
1114060500,70-74,M,86
1114060500,70-74,F,50
1114060500,75-79,M,49
1114060500,75-79,F,30
1114060500,80-84,M,34
1114060500,80-84,F,24
1114060500,85-89,M,17
1114060500,85-89,F,22
1114060500,90-94,M,3
1114060500,90-94,F,11
1114060500,95-99,M,2
1114060500,95-99,F,1
1114060500,100+,M,0
1114060500,100+,F,0
1114061500,0-4,M,53
1114061500,0-4,F,38
1114061500,5-9,M,49
1114061500,5-9,F,66
1114061500,10-14,M,43
1114061500,10-14,F,57
1114061500,15-19,M,52
1114061500,15-19,F,70
1114061500,20-24,M,119
1114061500,20-24,F,234
1114061500,25-29,M,311
1114061500,25-29,F,487
1114061500,30-34,M,391
1114061500,30-34,F,405
1114061500,35-39,M,289
1114061500,35-39,F,272
1114061500,40-44,M,244
1114061500,40-44,F,244
1114061500,45-49,M,239
1114061500,45-49,F,194
1114061500,50-54,M,260
1114061500,50-54,F,211
1114061500,55-59,M,332
1114061500,55-59,F,285
1114061500,60-64,M,313
1114061500,60-64,F,259
1114061500,65-69,M,290
1114061500,65-69,F,293
1114061500,70-74,M,226
1114061500,70-74,F,211
1114061500,75-79,M,143
1114061500,75-79,F,158
1114061500,80-84,M,88
1114061500,80-84,F,150
1114061500,85-89,M,53
1114061500,85-89,F,71
1114061500,90-94,M,11
1114061500,90-94,F,37
1114061500,95-99,M,1
1114061500,95-99,F,7
1114061500,100+,M,0
1114061500,100+,F,2
1114062500,0-4,M,70
1114062500,0-4,F,91
1114062500,5-9,M,89
1114062500,5-9,F,99
1114062500,10-14,M,152
1114062500,10-14,F,121
1114062500,15-19,M,189
1114062500,15-19,F,188
1114062500,20-24,M,300
1114062500,20-24,F,275
1114062500,25-29,M,538
1114062500,25-29,F,576
1114062500,30-34,M,646
1114062500,30-34,F,622
1114062500,35-39,M,469
1114062500,35-39,F,413
1114062500,40-44,M,412
1114062500,40-44,F,405
1114062500,45-49,M,409
1114062500,45-49,F,415
1114062500,50-54,M,462
1114062500,50-54,F,498
1114062500,55-59,M,562
1114062500,55-59,F,546
1114062500,60-64,M,444
